Post	Content	Date
1	Thank you for joining us. Here are the key takeaways from Chinese President Xi Jinping’s speech to a dinner of business executives at the APEC summit in San Francisco:Xi said China wants to be friends with the US and the Asian nation won’t fight a cold or hot war with anyone, in one of his clearest remarks yet proclaiming a desire for peaceful ties between the world’s two largest economiesChina is keen to promote people-to-people ties with the US, Xi said, announcing a push to invite 50,000 young Americans to China on exchange and study programs over the next five yearsOn a core area of difference, namely how the two countries fundamentally see each other, Xi asked: “Are we competitors or partners?” He added China is ready to be a partner and friend of the USXi devoted large part of speech highlighting the positives between the two countries, including praising the American people and the qualities they share, calling them “kind, friendly, hardworking and down-to-earth”The Chinese leader reiterated willingness to cooperate with the US across various fields, including the fight against fentanyl, calling it an issue where “China sympathizes deeply with the American people”Colum MurphyAsia Government TeamCopied	16th November
2	Biden and Xi struck a series of agreements during high-stakes talks held to stabilize a turbulent relationship strained by economic competition and military and diplomatic missteps. The heads of the world’s two largest economies met for over four hours on Wednesday on the sidelines of the Asia-Pacific Economic Cooperation forum in California. Here’s Bloomberg News story on what the two leaders agreed to: Here’s Everything Biden, Xi Agreed to at High-Stakes Summit #lazy-img-404404938:before{padding-top:66.64999999999999%;} Xi Jinping and Joe Biden in Woodside, California. Photographer: Brendan Smialowski/AFP/Getty Images Fran WangChina Economy TeamCopiedUpdated Nov 16	16th November
3	Either recounting a friendly history or reiterating China’s peaceful growth strategy, Xi’s making an effort today to appease rising concerns over a US-China “decoupling.”    After three decades of growing trade between China and the West, leaders and businesses in Washington and Brussels are looking to pull back, worried that China’s dominant role as the world’s workshop has created gaping imbalances.    Here’s how that decoupling -- a reduction in economic inter-dependence -- could play out. Alex MillsonSenior Editor, News DeskCopied	16th November
4	President Xi Jinping said China wants to be friends with the US and said his nation won’t fight a war with anyone, one of his clearest remarks yet proclaiming a desire for peaceful ties between the world’s two largest economies.Read more: Xi Says China Seeks to Be Friends With US, Won’t Fight ‘Hot War’Yanping LiBeijing Bureau ChiefCopied	16th November
5	Xi wraps up his speech on a positive note about contributions to world peace and development. Colum MurphyAsia Government TeamCopied	16th November
6	Towards the end of his speech, Xi says China is pursuing modernization and will not return to war.      We will not fight cold or hot war with anyone, he says. Yanping LiBeijing Bureau ChiefCopied	16th November
7	Xi Vows China Will Not Fight Cold or Hot War With AnyoneYanping LiBeijing Bureau ChiefCopied	16th November
8	Xi’s making a case for China’s peace-loving credentials now, saying China’s not interested in pursuing hegemony. Colum MurphyAsia Government TeamCopied	16th November
9	Nothing shockingly new so far. Xi is going through some of his favorite hits -- poverty alleviation, environment, modernization of China’s economy. Most of this should be familiar to those in the audience. Colum MurphyAsia Government TeamCopied	16th November
10	Serving the people selflessly is his lifelong commitment, Xi says after recounting his seven years of youth spent in a village in northern China.Zibang XiaoEconomy & Government TeamCopied	16th November
11	Modernization for 1.4 billion Chinese is a huge opportunity that China provides to the world, Xi says.          #lazy-img-404404134:before{padding-top:66.89090909090909%;}           Xi Jinping in San Francisco on Nov. 15. Photographer: Carlos Barria/POOL/AFP/Getty Images Colum MurphyAsia Government TeamCopiedUpdated Nov 16	16th November
12	Xi acknowledges that China is no longer home to the world’s largest population, saying that title now goes to India. Colum MurphyAsia Government TeamCopied	15th November
13	Panda diplomacy next.    Pandas have long been envoys between the Chinese and American people, Xi says, adding that China is willing to continue panda conservation efforts with the US. Colum MurphyAsia Government TeamCopiedUpdated Nov 16	15th November
14	China is ready to invite 50,000 young Americans to China on exchange and study programs over the next five years, Xi announces.Colum MurphyAsia Government TeamCopiedUpdated Nov 16	15th November
15	Xi mentions his pet projects: Belt and Road Initiative, Global Development Initiative, Global Security Initiative, Global Civilization Initiative -- are open to all countries at all times, including the US. China also willing to participate in US-led multilateral efforts, he says.Colum MurphyAsia Government TeamCopied	15th November
16	It’s wrong to view China as a threat. That would lead to zero-sum thinking, Xi says, reiterating his claim that China doesn’t want to unseat the US.    But the US should also not bet against China, Xi warns.  Colum MurphyAsia Government TeamCopied	15th November
17	Xi asks: “Are we competitors or partners?” He then quickly states that China is ready to be a partner and friend of the United States.  Colum MurphyAsia Government TeamCopiedUpdated Nov 16	15th November
18	How to steer the giant ship of US-China relations is a question always on Xi’s mind, he says. Zibang XiaoEconomy & Government TeamCopied	15th November
19	Specifically mentions California, Xi says he hopes the state takes the lead on improving US-China relations. Colum MurphyAsia Government TeamCopied	15th November
20	Xi’s speech is very much appealing to the human element of the US-China interactions, calling for more visits, exchanges and conversations. Zibang XiaoEconomy & Government TeamCopied	15th November
21	“We must get along with each other,” Xi says about US-China relations.          #lazy-img-404403822:before{padding-top:66.64999999999999%;}           Xi Jinping in San Francisco on Nov. 15. Photographer: Carlos Barria/POOL/AFP/Getty Images Colum MurphyAsia Government TeamCopiedUpdated Nov 16	15th November
22	Xi reviews some of the achievements from his talks with Biden, including passenger flight increases, tourism dialogue and streamlining visa applications. Colum MurphyAsia Government TeamCopiedUpdated Nov 16	15th November
23	So far lots of warm vibes coming from Xi on US-China relations.    The more difficulties there are, the greater the need to forge a closer bond between our people, Xi says.  Colum MurphyAsia Government TeamCopied	15th November
24	Xi praises people of the two countries as kind, friendly, hardworking and down-to-earth, and thanks them for bringing China-US relations from a low ebb back to the right track.Zibang XiaoEconomy & Government TeamCopiedUpdated Nov 16	15th November
25	During those recent talks with American visitors to China, Xi said he told them about the importance of communication between the two countries at the subnational level.Colum MurphyAsia Government TeamCopied	15th November
26	Xi recounts his meetings with Kissinger, Bill Gates, Schumer, Newsom, saying the hope of the US-China relationship lies in the people. He welcomes more Americans to visit the country.Zibang XiaoEconomy & Government TeamCopied	15th November
27	Xi’s bringing up the ping-pong diplomacy receives a huge round of applause from the audience. The diplomacy later led to the US-China rapprochement. Zibang XiaoEconomy & Government TeamCopied	15th November
28	Now Xi’s talking about the 1971 visit of the US table tennis team to Beijing.      “A small ball moved the globe,” Xi says.  Colum MurphyAsia Government TeamCopied	15th November
29	Both leaders have cited plenty of history today -- US President Joe Biden told world leaders gathered to kick off the APEC summit Wednesday in San Francisco that he had reminisced with Chinese leader about visiting the city as a young man.     “One of the things I pointed out to him was, you’ve got one of the largest populations, Chinese populations, in America,” Biden said. “Felt like you’re going home.”   Biden told leaders that he hoped the stories of immigrants who helped build the city would help inspire them to “make new connections and spark new partnerships” to deepen their cooperation. Justin SinkWhite House ReporterCopied	15th November
30	Xi brings up the Flying Tigers, the US airmen who flew missions against the Japanese during the World War II. The Tigers fought against the Japanese and transported supplies to China, he says.Colum MurphyAsia Government TeamCopied	15th November
31	Xi is recounting some of his memories of San Francisco, and points out that it was here 78 years ago, that US and China pushed for the founding of United Nations. Colum MurphyAsia Government TeamCopied	15th November
32	Xi recounted Biden earlier showing him a photo of Xi in front of the Golden Gate Bridge to lighten up the mood.Zibang XiaoEconomy & Government TeamCopied	15th November
33	Xi greets the audience, and says he’s happy to meet American friends in San Francisco to continue the friendship.         #lazy-img-404403713:before{padding-top:66.7%;}           Xi Jinping speaks in San Francisco on Nov. 15. Photographer: Carlos Barria/POOL/AFP/Getty Images Zibang XiaoEconomy & Government TeamCopiedUpdated Nov 16	15th November
34	Chinese President Xi is now taking the stage.Zibang XiaoEconomy & Government TeamCopiedUpdated Nov 15	15th November
35	People, not government and institutions, give energy to bilateral relations, Greenberg says. Colum MurphyAsia Government TeamCopied	15th November
36	Greenberg from Chubb Group says the Biden-Xi meeting demonstrates shared support and mutual respect and engagement. Zibang XiaoEconomy & Government TeamCopied	15th November
37	Evan Greenberg, chairman and chief executive officer of Chubb as USCBC chair, on stage now, introducing Xi. Colum MurphyAsia Government TeamCopied	15th November
38	Raimondo says the “vast majority” of trade with China doesn’t touch upon national security. Colum MurphyAsia Government TeamCopied	15th November
39	Raimondo says President Biden told President Xi that a growing China is good and is in the US interest as well.    Beijing has been accusing Washington of containing its rise and kneecapping its technological development. Zibang XiaoEconomy & Government TeamCopied	15th November
40	US wants to have robust trade with China, provided it’s on a level playing field, Raimondo says. Colum MurphyAsia Government TeamCopied	15th November
41	She thanks Xi for his collaboration on the fentanyl issue. “This cooperation will save American lives,” she said. Colum MurphyAsia Government TeamCopiedUpdated Nov 15	15th November
42	Raimondo tells participants that the two presidents’ have had seven “interactions” during the Biden administration. Colum MurphyAsia Government TeamCopied	15th November
43	Raimondo says the two leaders have developed a rapport.      “We have our differences and I’m not going to pretend otherwise,” she says. But the US is not seeking conflict with China, and that it wants cooperation with China on climate change and other areas of global concern.      Raimondo repeated the talk today is “direct, open, and candid,” and she thanked President Xi for his support and coordination.  Zibang XiaoEconomy & Government TeamCopied	15th November
44	US Commerce Secretary Gina Raimondo up now. Tells Xi she’s delighted to host him. Colum MurphyAsia Government TeamCopied	15th November
45	Chinese President Xi will be delivering remarks at a dinner with business leaders in San Francisco. You can follow the event here or click on {LIVE <GO>} and scroll to the relevant entry. Julie MasudaAsia Broadcast NewsdeskCopied	15th November
46	Marc Casper, USCBC Chair and Chairman, President, and Chief Executive Officer of Thermo Fisher Scientific offers the opening remarks. Colum MurphyAsia Government TeamCopied	15th November
47	Looks like Craig Allen of USCBC introducing Chinese President Xi Jinping.Colum MurphyAsia Government TeamCopied	15th November
48	President Xi Jinping has arrived at the dinner to a huge round of applause.Zibang XiaoEconomy & Government TeamCopied	15th November
49	Just chatting here with colleagues about Biden’s earlier “dictator” remark and how the Chinese side could react. It just serves to underscore how fragile the relations between the two countries are if a single word could reverse any modest progress made. For sure, the comment isn’t going to sit well with Beijing. But they’ll probably let it slide and chalk it up to Biden trying to appeal to domestic audiences. Colum MurphyAsia Government TeamCopied	15th November
