Post	Content	Date
1	Joe Biden announced that military-to-military contacts will resume between the US and ChinaDuring his San Francisco press conference, the US president said military-to-military contacts will resume between the two countries. Biden said: That’s how accidents happen. Misunderstandings. So we’re back to direct, open, clear communications on a direct basis.	16th November
2	US President Joe Biden and Chinese leader Xi Jinping held their first face-to-face talks in a year on Wednesday, and agreed to open a presidential hotline, resume military-to-military communications and work to curb fentanyl production. Biden and Xi met for about four hours on the outskirts of San Francisco to discuss issues that have strained US-Chinese relations.	16th November
3	The two leaders “agreed Wednesday to resume on the basis of equality and respect high-level military-to-military communication,” Beijing state media said after the meeting. China severed military contact after then-House of Representatives Speaker Nancy Pelosi visited Taiwan in August 2022.	16th November
4	Biden announced this in remarks after the talks, saying, “We’re back to direct, open clear direct communication on a direct basis,” and, “That’s how accidents happen […] misunderstandings. So we’re back to direct, open, clear communications on a direct basis.”	16th November
5	US Secretary of Defense Lloyd Austin will meet his Chinese counterpart when that person is named, a senior US official said.	16th November
6	Biden said he and Xi agreed to high-level communications. “He and I agreed that each one of us can pick up the phone call directly and we’ll be heard immediately.”	16th November
7	Ahead of the meeting Xi and Biden also pledged to cooperate more closely to fight climate change, both countries said that they would commit to “economy-wide” nationally determined contributions across all greenhouse gases, not just CO2.	16th November
8	During the meeting Xi Jinping called the partnership between the US and China “the most important bilateral relationship in the world”, and said that he and Joe Biden “shoulder heavy responsibilities for the two peoples, for the world and for history”.	16th November
9	Biden emphasised the value of the two leaders speaking in person, telling Xi, “There’s no substitute to face-to-face discussions”. Biden also said, “We have to ensure that competition does not veer into conflict,” and that the two countries, “also have to manage it responsibly … and work together when we see it in our interest to do so.”	16th November
10	Chinese leader Xi Jinping warned US President Joe Biden at a summit to stop arming Taiwan, Beijing said Thursday. “The US side should... stop arming Taiwan, and support China’s peaceful reunification,” Xi told Biden, according to a readout from China’s foreign ministry. “China will realise reunification, and this is unstoppable,” the Chinese leader said of the future of the self-ruled island, which Beijing has pledged to re-take one day.	16th November
11	When asked by a reporter whether or not he trusted Xi Jinping in the contest of their joint efforts to reduce the flow fentanyl, Biden said, “I know the man, I know his modus operandi…he’s been straight.” He added that he and Xi talked about Taiwan’s election and Biden “expects no interference” from China’s government.	16th November
12	In addition, the summit saw the two men agree to set up joint government talks on the use of artificial intelligence, as well as a working group on counternarcotics cooperation, Xinhua news agency said. They further committed to work towards stepping up scheduled passenger flights between their countries early next year. And they agreed to deepen cooperation on climate change and step up joint efforts ahead of this month’s COP28 summit in Dubai.Xi told Biden that China did not seek to “surpass or unseat the United States” and stressed that “the United States should not scheme to suppress and contain China”.“China will not follow the old path of colonisation and plunder, nor will it follow the wrong path of hegemony when a country becomes strong,” Xi said, according to Xinhua. China’s development, he said, “will not be stopped by external forces”.Xi also warned Washington that Beijing was dissatisfied with sanctions and other measures against its companies. “US actions against China regarding export control, investment screening and unilateral sanctions seriously hurt China’s legitimate interests,” Xi said. “Suppressing China’s science and technology is curbing China’s high-quality development and depriving the Chinese people of their right to development.”	16th November
13	Following the meeting, the White House said that the US president and Chinese president had a “candid and constructive” conversation on a range of issues, including international diplomacy.	16th November
14	Biden also doubled down on comments he made in June calling Xi Jinping a “dictator.” In response to a question from a reporter Biden said, “Well look, he is, he’s a dictator in the sense that he is a guy who runs a country that is a Communist country, based on a form of government that is totally different from ours.”	16th November
15	In addition to fielding questions about his meeting with Xi, Joe Biden was pressed by reporters about the Israel-Hamas war. Among other comments about hostage negotiations and his approval of Benjamin Netanyahu’s military actions Biden said of the Israel-Hamas war, “I don’t know how long it’s going to last but it won’t end until there’s a two-state solution.”	16th November
16	A selection of images from the dayJoe Biden meets Xi Jinping in Woodside, California.	16th November
17	During the meeting at the Filoli estate, 30 miles south of San Francisco, Xi Jinping called the partnership between the US and China “the most important bilateral relationship in the world”, and said that he and Joe Biden “shoulder heavy responsibilities for the two peoples, for the world and for history”.	16th November
18	Ahead of the meeting, Xi and Biden pledged to cooperate more closely to fight climate change. Both countries said that they would commit to “economy-wide” nationally determined contributions across all greenhouse gases, not just CO2.	16th November
19	Biden emphasized the value of the two leaders speaking in person, saying: “There’s no substitute to face-to-face discussions.” “We have to ensure that competition does not veer into conflict,” Biden added. “And we also have to manage it responsibly … and work together when we see it in our interest to do so.”	16th November
20	In a tweet, the White House said that the US president and Chinese president had a “candid and constructive” conversation on a range of issues including international diplomacy.	16th November
21	In addition to fielding questions about his meeting with Xi Jinping and the US’s relationship with China, Joe Biden was pressed by reporters about the Israel-Hamas war. Among other comments about hostage negotiations and his approval of Benjamin Netanyahu’s military actions, Biden said of the Israel-Hamas war: “I don’t know how long it’s gonna last but it won’t end until there’s a two-state solution.”	16th November
22	Thank you for following the Guardian’s live blog. My colleagues in Australia will be picking things up from here. In addition to fielding questions about his meeting with Xi Jinping and the US’s relationship with China, Joe Biden was pressed by reporters about the Israel-Hamas war.When asked whether or not he has set a deadline for his support of Israel’s military actions, and whether he’s comfortable with Israeli prime minister Benjamin Netanyahu’s military actions, he answered “yes” to the first part of the question and “no” to the second. In regard to the release of hostages, Biden said he is “working to move forward on hostage negotiations”. He said he didn’t want to “get ahead” of himself by sharing specific details on progress, and clarified that he has no plans to send in the US military to remove hostages.Biden added that he doesn’t expect to see an end to the war until “Hamas no longer has the capacity to murder, abuse and do horrific things to the Israelis”.“I don’t know how long it’s gonna last but it won’t end until there’s a two-state solution,” he added.	16th November
23	Biden wished Xi’s wife, Peng Liyuan, a happy early birthday – she and Biden share the same 20 November birthday. Xi said he was embarrassed as he had been working so hard and had forgotten that his wife’s birthday was next week. He thanked Biden for reminding him, according to a Biden administration official.	16th November
24	Joe Biden doubled down on comments he made in June calling Xi Jinping a “dictator”.In response to a question from a reporter, the US president said: “Well, look, he is, he’s a dictator in the sense that he is a guy who runs a country that is a Communist country, based on a form of government that is totally different from ours.	16th November
25	According to a readout from the Chinese Foreign Ministry to the state media, Xi Jinping confirmed the country’s willingness to restart military talks, but warned Biden against arming Taiwan.	16th November
26	‘The US side should ... stop arming Taiwan, and support China’s peaceful reunification,’ Xi told Biden, according to Chinese state media. ‘China will realize reunification, and this is unstoppable,’ the Chinese leader said of the future of the self-ruled island, which Beijing has pledged to retake one day.	16th November
27	Joe Biden announced that military-to-military contacts will resume between the US and ChinaDuring his San Francisco press conference, the US president said military-to-military contacts will resume between the two countries.Biden said:	16th November
28	That’s how accidents happen. Misunderstandings. So we’re back to direct, open, clear communications on a direct basis.	16th November
29	When asked by a Bloomberg reporter whether or not he trusted Xi Jinping in the contest of their joint efforts to reduce the flow of fentanyl, Biden said: “I know the man, I know his modus operandi … he’s been straight.”He added that he and Xi talked about Taiwan’s election and that he “expects no interference” from China’s government.	16th November
30	Joe Biden says that the US will continue to compete with the People’s Republic of China, but will do so “responsibly” as not to create “unintentional conflict”.He also announced a plan for Chinese experts to convene with US experts to “talk about the risks of AI”.On artificial intelligence, the president said:	16th November
31	These are tangible steps in the right direction to determine what’s useful and not useful, what’s dangerous and what’s acceptable.	16th November
32	Joe Biden has began his remarks. The president’s first remarks are announcing a cooperation between China and the US to stem the flow of fentanyl and pill presses into the US. You can watch Biden’s talk here.	16th November
